x,w_analytical,M_analytical
3.473473473473473461e-01,-6.623810797015218521e-03,1.133485838190542836e+02
3.483483483483483245e-01,-6.634358102974148227e-03,1.135008882756630584e+02
3.493493493493493585e-01,-6.644840395414906495e-03,1.136521907292678151e+02
3.503503503503503369e-01,-6.655257587671101378e-03,1.138024911798685537e+02
3.513513513513513709e-01,-6.665609593650295012e-03,1.139517896274653168e+02
3.523523523523523493e-01,-6.675896327833998403e-03,1.141000860720580334e+02
3.533533533533533277e-01,-6.686117705277672303e-03,1.142473805136467888e+02
3.543543543543543617e-01,-6.696273641610727204e-03,1.143936729522315119e+02
3.553553553553553401e-01,-6.706364053036520737e-03,1.145389633878122453e+02
3.563563563563563741e-01,-6.716388856332366347e-03,1.146832518203889748e+02
3.573573573573573525e-01,-6.726347968849515080e-03,1.148265382499616578e+02
3.583583583583583310e-01,-6.736241308513183333e-03,1.149688226765303796e+02
3.593593593593593649e-01,-6.746068793822527707e-03,1.151101051000950832e+02
3.603603603603603434e-01,-6.755830343850652807e-03,1.152503855206557830e+02
3.613613613613613773e-01,-6.765525878244618187e-03,1.153896639382125073e+02
3.623623623623623557e-01,-6.775155317225428804e-03,1.155279403527651709e+02
3.633633633633633342e-01,-6.784718581588045430e-03,1.156652147643138733e+02
3.643643643643643681e-01,-6.794215592701366435e-03,1.158014871728585433e+02
3.653653653653653466e-01,-6.803646272508252942e-03,1.159367575783992095e+02
3.663663663663663805e-01,-6.813010543525511477e-03,1.160710259809359002e+02
3.673673673673673590e-01,-6.822308328843891372e-03,1.162042923804685444e+02
3.683683683683683929e-01,-6.831539552128100372e-03,1.163365567769972273e+02
3.693693693693693714e-01,-6.840704137616792496e-03,1.164678191705218779e+02
3.703703703703703498e-01,-6.849802010122568903e-03,1.165980795610425105e+02
3.713713713713713838e-01,-6.858833095031987431e-03,1.167273379485591818e+02
3.723723723723723622e-01,-6.867797318305546989e-03,1.168555943330717923e+02
3.733733733733733962e-01,-6.876694606477700561e-03,1.169828487145804559e+02
3.743743743743743746e-01,-6.885524886656850009e-03,1.171091010930850729e+02
3.753753753753753530e-01,-6.894288086525346068e-03,1.172343514685857002e+02
